Key,Value,Confidence
Parent,,100.0
THEORY,,67.14
SUBJECT,,54.33
HIAI FT,,42.7
Regn.No.,L221/50112/0046,69.15
stear/,,74.16
Patich Dated :,30-07-2021,92.8
Roll No.,19667044,89.4
ER :,31/7914 TH Parent # Essential Repeat in all subjects,94.88
$,'IT',86.84
School,50112 ST MARY'S CONVENT SR SEC SCHOOL UJJAIN MP,94.21
This is to certify that,,80.0
AB :,Absent,94.58
IA,3Ha required Internal Assessment,95.07
Father's / Guardian's Name,NARENDRA RAI,94.62
/ TT 714,,61.47
Paulctu,,46.65
чрота Result,PASS,94.27
471&11 Prixan Controller of Examinations,,92.02
π./PR. :,/Practical,94.73
S.No.SSCE/2021/,1373708,91.86
ФТ 37ef :,Abbreviations,90.19
Mother's Name,CHETNA RAI,92.19
заджнія,,60.0
34mfoai :,Say 817 # is Paulla gTTT 3197 RdV ЧХ alls give GIRT ЯДП & GIRL È,62.61
714,,60.96
Delhi,,58.85
WORK EXPERIENCE,A1,47.3
1373708,,55.06
of A-IIIR the has achieved Scholastic Achievements as under,,73.47
HEALTH & PHYSICAL EDUCATION,B2,61.68
GENERAL STUDIES,A2,64.91
Te Part GIRT the As,SHIVANK RAI,45.33
